cement,flyash,ggbs,mk,water,water_tcm,sp,vma,nca_20_down,nca_10_down,rca_20_down,rca_10_down,sand,age,cs
165.0,0.0,385.0,0.0,172.0,0.31,4.4,1.1,0.0,0.0,333.0,591.0,516.0,56.0,47.0
509.0,0.0,0.0,41.0,221.0,0.4,4.4,0.55,0.0,0.0,356.0,633.0,553.0,7.0,37.5
468.0,0.0,0.0,82.0,197.0,0.35,6.05,0.28,0.0,0.0,355.0,630.0,550.0,7.0,34.0
509.0,0.0,0.0,41.0,221.0,0.4,4.4,0.55,0.0,0.0,356.0,633.0,553.0,14.0,40.0
509.0,0.0,0.0,41.0,221.0,0.4,4.4,0.55,0.0,0.0,356.0,633.0,553.0,28.0,37.0
468.0,0.0,0.0,82.0,197.0,0.35,6.05,0.28,0.0,0.0,355.0,630.0,550.0,28.0,58.0
509.0,0.0,0.0,41.0,221.0,0.4,4.4,0.55,0.0,0.0,356.0,633.0,553.0,56.0,48.0
468.0,0.0,0.0,82.0,197.0,0.35,6.05,0.28,0.0,0.0,355.0,630.0,550.0,56.0,60.0
680.0,0.0,0.0,0.0,170.0,0.25,2.04,0.0,0.0,0.0,415.0,466.0,562.0,3.0,45.0
480.0,0.0,0.0,0.0,170.0,0.35,1.2,0.0,0.0,0.0,458.0,514.0,620.0,3.0,33.69
378.0,0.0,0.0,0.0,170.0,0.45,0.756,0.0,0.0,0.0,482.0,541.0,653.0,3.0,20.0
309.0,0.0,0.0,0.0,170.0,0.55,0.309,0.0,0.0,0.0,497.0,559.0,674.0,3.0,14.81
227.0,0.0,0.0,0.0,170.0,0.75,0.0,0.0,0.0,0.0,516.0,579.0,699.0,3.0,9.85
680.0,0.0,0.0,0.0,170.0,0.25,2.04,0.0,0.0,0.0,415.0,466.0,562.0,7.0,50.46
480.0,0.0,0.0,0.0,170.0,0.35,1.2,0.0,0.0,0.0,458.0,514.0,620.0,7.0,38.6
378.0,0.0,0.0,0.0,170.0,0.45,0.756,0.0,0.0,0.0,482.0,541.0,653.0,7.0,26.9
309.0,0.0,0.0,0.0,170.0,0.55,0.309,0.0,0.0,0.0,497.0,559.0,674.0,7.0,20.0
262.0,0.0,0.0,0.0,170.0,0.65,0.0,0.0,0.0,0.0,508.0,571.0,688.0,7.0,16.0
227.0,0.0,0.0,0.0,170.0,0.75,0.0,0.0,0.0,0.0,516.0,579.0,699.0,7.0,14.6
680.0,0.0,0.0,0.0,170.0,0.25,2.04,0.0,0.0,0.0,415.0,466.0,562.0,28.0,64.15
378.0,0.0,0.0,0.0,170.0,0.45,0.75,0.0,0.0,0.0,482.0,541.0,653.0,28.0,37.1
309.0,0.0,0.0,0.0,170.0,0.55,0.3,0.0,0.0,0.0,497.0,559.0,674.0,28.0,28.07
262.0,0.0,0.0,0.0,170.0,0.65,0.0,0.0,0.0,0.0,508.0,571.0,688.0,28.0,20.0
227.0,0.0,0.0,0.0,170.0,0.75,0.0,0.0,0.0,0.0,516.0,579.0,699.0,28.0,18.0
680.0,0.0,0.0,0.0,170.0,0.25,2.04,0.0,0.0,0.0,415.0,466.0,562.0,90.0,65.32
480.0,0.0,0.0,0.0,170.0,0.35,1.2,0.0,0.0,0.0,458.0,514.0,620.0,90.0,50.85
378.0,0.0,0.0,0.0,170.0,0.45,0.75,0.0,0.0,0.0,482.0,541.0,653.0,90.0,40.38
309.0,0.0,0.0,0.0,170.0,0.55,0.3,0.0,0.0,0.0,497.0,559.0,674.0,90.0,31.01
227.0,0.0,0.0,0.0,170.0,0.75,0.0,0.0,0.0,0.0,516.0,579.0,699.0,90.0,20.0
340.0,0.0,340.0,0.0,170.0,0.25,2.38,0.0,0.0,0.0,407.0,457.0,551.0,3.0,30.0
243.0,0.0,243.0,0.0,170.0,0.35,1.215,0.0,0.0,0.0,452.0,508.0,612.0,3.0,19.62
